Index,Address,Lat,Lon
312,King St & Patrick St,38.8054806,-77.0502825
313,King St Metro,38.8072485,-77.0600084
314,King St Metro North / Cameron St,38.8072485,-77.0600084
315,King St Metro South,38.8072485,-77.0600084
316,L'Enfant Plaza / 7th & C St SW,38.8839082,-77.0251514
317,Lamont & Mt Pleasant NW,38.9311391,-77.0382492
318,Lee Center,38.9294434,-77.0147266
319,Lee Hwy & N Adams St,38.8952947,-77.0888778
320,Lee Hwy & N Cleveland St,38.8947826,-77.0912529
321,Lee Hwy & N Kirkwood Rd,38.8958147,-77.0963535
322,Lee Hwy & N Monroe St,38.8960895,-77.1041992
323,Lee Hwy & N Nelson St,38.8962328,-77.1052963
324,Lee Hwy & N Scott St,38.8973786,-77.0805697
325,Lee Hwy & N Woodstock St,38.8985894,-77.1179647
326,Library St & Freedom Dr,38.9594291,-77.3585822
327,Lincoln Memorial,38.8892686,-77.050176
328,Lincoln Park / 13th & East Capitol St NE,38.8899561,-76.9883217
329,Lincoln Park / 13th & East Capitol St NE ,38.8899561,-76.9883217
330,Long Bridge Park/Long Bridge Dr & 6th St S,38.8671948,-77.0464764
331,Lynn & 19th St North,38.8971115,-77.0708501
332,Lyttonsville Rd & Lyttonsville Pl,38.998836,-77.0524077
333,M St & Delaware Ave NE,38.9056473,-77.0030507
334,M St & New Jersey Ave SE,38.8765387,-77.004185
335,M St & Pennsylvania Ave NW,38.9052288,-77.05796
336,Madison & Fairfax St,38.8124631,-77.040855
337,Madison & N Henry St,38.8135772,-77.0496655
338,Maple & Ritchie Ave,38.9834543,-77.0065286
339,Market Square / King St & Royal St,38.8049102,-77.0430287
340,Maryland & Independence Ave SW,38.8875691,-77.0165048
341,Maryland Ave & E St NE,38.8961678,-76.9932444
342,Massachusetts Ave & Dupont Circle NW,38.909475,-77.0426854
343,McKinley St & Connecticut Ave NW,38.9649149,-77.0755946
344,McPherson Square - 14th & H St NW,38.9019655,-77.0341133
345,McPherson Square / 14th & H St NW,38.9012474,-77.032198
346,Medical Center Dr & Key West Ave,39.1052988,-77.1964979
347,Medical Center Metro ,38.9990899,-77.0977961
348,Metro Center / 12th & G St NW,38.8983706,-77.0278743
349,Minnesota Ave Metro/DOES,38.8991296,-76.9467801
350,MLK Library/9th & G St NW,38.8986775,-77.0247414
351,Monroe Ave & Leslie Ave,38.8209884,-77.0528059
352,Monroe St & Monroe Pl,39.0835041,-77.1490007
353,Montgomery & East Ln,38.9834683,-77.0950107
354,Montgomery Ave & Waverly St ,38.9838679,-77.0924267
355,Montgomery College/W Campus Dr & Mannakee St,39.0973684,-77.1577352
356,Mount Vernon Ave & Bruce St,38.8412583,-77.0632949
357,Mount Vernon Ave & E Del Ray Ave,38.8261213,-77.0586399
358,Mount Vernon Ave & E Nelson Ave,38.8196106,-77.0574538
359,Mount Vernon Ave & Four Mile Run Park,38.8428888,-77.0639507
360,Mount Vernon Ave & Kennedy St,38.8329284,-77.0598924
361,N Adams St & Lee Hwy,38.8952947,-77.0888778
362,N Fillmore St & Clarendon Blvd,38.8878759,-77.0931288
363,N Highland St & Wilson Blvd,38.8874518,-77.0949946
364,N Lynn St & Fairfax Dr,38.8933017,-77.0712647
365,N Nelson St & Lee Hwy,38.8962328,-77.1052963
366,N Pershing Dr & Wayne St,38.8806524,-77.0856823
367,N Quincy St & Glebe Rd,38.8761508,-77.1082808
368,N Quincy St & Wilson Blvd,38.8798836,-77.1075483
369,N Randolph St & Fairfax Dr,38.8823603,-77.1094388
370,N Rhodes & 16th St N,38.8918617,-77.0792571
371,N Veitch  & 20th St N,38.8968111,-77.0864445
372,N Veitch & Key Blvd,38.8933798,-77.0861211
373,Nannie Helen Burroughs & Minnesota Ave NE,38.9018903,-76.9426423
374,Nannie Helen Burroughs Ave & 49th St NE,38.8986855,-76.9316613
375,Neal St & Trinidad Ave NE,38.903371,-76.9861378
376,Needwood Rd & Eagles Head Ct,39.1234619,-77.15731
377,New Dominion Pkwy & Fountain Dr,38.9605861,-77.3568701
378,New Hampshire & Kirklynn Ave,38.988073,-76.9879073
379,New Hampshire Ave & 24th St NW,38.9011215,-77.0514178
380,New Hampshire Ave & T St NW,38.9155803,-77.0378968
381,New Hampshire Ave & T St NW [formerly 16th & U St NW],38.914301,-77.045201
382,New Jersey Ave & L St NW,38.9037274,-77.0141765
383,New Jersey Ave & N St NW/Dunbar HS,38.9077814,-77.0129006
384,New Jersey Ave & R St NW,38.9125993,-77.0173559
385,New York Ave & 15th St NW,38.8987612,-77.0336375
386,New York Ave & Hecht Ave NE,38.9152958,-76.9846344
387,Norfolk & Rugby Ave,38.9907295,-77.1002591
388,Norfolk Ave & Fairmont St,38.9885004,-77.0965768
389,North Capitol St & F St NW,38.897306,-77.0091015
390,North Capitol St & G Pl NE,38.8995592,-77.0091246
391,North Shore & Cameron Crescent Dr/Crescent Apartments,38.9704056,-77.3385445
392,North Shore Dr & Village Rd,38.9702792,-77.3410096
393,Offutt Ln & Chevy Chase Dr,38.9769568,-77.0945656
394,Ohio Dr & West Basin Dr SW / MLK & FDR Memorials,38.8834579,-77.0429536
395,Oklahoma Ave & D St NE,38.8947743,-76.9743375
396,Old Georgetown Rd & Southwick St,38.9994025,-77.1095356
397,Park Rd & Holmead Pl NW,38.9309272,-77.030867
398,Pennsylvania & Minnesota Ave SE,38.8734198,-76.9707337
399,Pentagon City Metro / 12th & Hayes St,38.8627034,-77.0595253
400,Pentagon City Metro / 12th & S Hayes St,38.8627034,-77.0595253
401,Pershing & N George Mason Dr,38.8717403,-77.1081508
402,Philadelphia & Maple Ave,38.981039,-77.0102941
403,Piccard & W Gude Dr,39.1018136,-77.177094
404,Pleasant St & MLK Ave SE,38.863912,-76.990282
405,Pooks Hill Rd & Linden Ave,39.0143376,-77.1061335
406,Potomac & Pennsylvania Ave SE,38.8802293,-76.9849817
407,Potomac & Swann Ave,38.8295941,-77.0479471
408,Potomac Ave & 35th St S,38.8442637,-77.0504724
409,Potomac Ave & 8th St SE,38.8768332,-76.9949812
410,Potomac Ave & Main Line Blvd,38.8227299,-77.048856
411,Potomac Greens Dr & Slaters Ln,38.8214242,-77.0473974
412,Powhatan St & Bashford Ln,38.8186535,-77.0475541
413,Prince St & Union St,38.803103,-77.040519
414,Radford & Osage St,38.8283028,-77.0861074
415,Randle Circle & Minnesota Ave NE,38.8785406,-76.9611286
416,Randle Circle & Minnesota Ave SE,38.8785406,-76.9611286
417,Reston Regional Library,38.9614475,-77.3585531
418,Reston Station,38.948945,-77.3382865
419,Reston Town Center Transit Station,38.957008,-77.3588843
420,Reston YMCA,38.9560449,-77.3681742
421,Rhode Island Ave & V St NE,38.9181072,-77.0054878
422,Rhode Island Ave Metro,38.9208238,-76.9959725
423,Ripley & Bonifant St,38.9933016,-77.0294228
424,River Rd & Landy Ln,38.9645584,-77.1033793
425,Rockville Metro East,39.1273679,-77.1673182
426,Rockville Metro West,39.084284,-77.1462103
427,Rolfe St & 9th St S,38.8663539,-77.0761068
428,Rosslyn Metro / Wilson Blvd & Ft Myer Dr,38.8949085,-77.0720516
429,Royal & Wilkes St,38.8001294,-77.0445911
430,S Abingdon St & 36th St S,38.8348556,-77.0941733
431,S Arlington Mill Dr & Campbell Ave,38.8422224,-77.0896307
432,S Four Mile Run & Walter Reed Dr,38.8469206,-77.095221
433,S Four Mile Run Dr & S Shirlington Rd,38.8440505,-77.0857151
434,S George Mason Dr & 13th St S,38.8561972,-77.1002912
435,S George Mason Dr & Four Mile Run,38.8522934,-77.1055295
436,S Glebe & Potomac Ave,38.8427534,-77.0500036
437,S Joyce & 16th St S,38.8584888,-77.0633122
438,S Joyce & Army Navy Dr,38.865844,-77.0627163
439,S Kenmore & 24th St S,38.8484522,-77.0847933
440,S Oakland St & Columbia Pike,38.8603123,-77.0957113
441,S Stafford & 34th St S,38.8334173,-77.0871232
442,S Troy St & 26th St S,38.8478037,-77.0754352
443,S Walter Reed Dr & 8th St S,38.8656307,-77.0877265
444,Saint Asaph & Madison St,38.8128782,-77.0441438
445,Saint Asaph St & Pendleton  St,38.8106028,-77.044629
446,Shady Grove Hospital,39.0987109,-77.1982666
447,Shady Grove Metro West,39.1273679,-77.1673182
448,Shirlington Transit Center / S Quincy & Randolph St,38.8394179,-77.0872697
449,Silver Spring Metro/Colesville Rd & Wayne Ave,38.9955316,-77.0255643
450,Sligo Ave & Carroll Ln,38.9907529,-77.0165132
451,Smithsonian / Jefferson Dr & 12th St SW,38.8887861,-77.0260229
452,Smithsonian-National Mall / Jefferson Dr & 12th St SW,38.8912662,-77.0260654
453,Solutions & Greensboro Dr,38.923619,-77.2313138
454,South Capitol & Atlantic St SW,38.8314006,-77.0077245
455,Spring Hill Metro,38.9292723,-77.2419875
456,Spring St & Second Ave,38.9978346,-77.0344218
457,Sunset Hills & Old Reston Ave,38.9550528,-77.351869
458,Sunset Hills Rd & Discovery Square,38.9575601,-77.3713622
459,Taft St & E Gude Dr,39.0941936,-77.1325957
460,Takoma Metro,38.9771126,-77.0204609
461,Takoma Park Rec Center,38.9825108,-76.988131
462,Temporary Rd & Old Reston Ave,38.9601667,-77.3530253
463,Tenleytown / Wisconsin Ave & Albemarle St NW,38.9479287,-77.0796836
464,Thomas Circle,38.90598,-77.031974
465,Thomas Jefferson Cmty Ctr / 2nd St S & Ivy,38.8704987,-77.0958244
466,TJ Cmty Ctr / 2nd St & S Old Glebe Rd,38.8704987,-77.0958244
467,Towers Crescent Dr & Tysons One Pl,38.913667,-77.2198119
468,Town Center Pkwy & Bowman Towne Dr,38.9623566,-77.3621204
469,Traville Gateway Dr & Gudelsky Dr,39.0951946,-77.2014944
470,Tysons Corner Station,38.9206198,-77.2222368
471,Tysons One Pl & Chain Bridge Rd,38.9201499,-77.2217108
472,Tysons West Transit Center,38.9327032,-77.231775
473,Union Market/6th St & Neal Pl NE,38.9086613,-76.9979801
474,US Dept of State / Virginia Ave & 21st St NW,38.8944859,-77.0483582
475,USDA / 12th & Independence Ave SW,38.8869701,-77.030788
476,Utah St & 11th St N ,38.883746,-77.113923
477,Van Ness Metro / UDC,38.9445504,-77.0637321
478,Veterans Pl & Pershing Dr ,38.9974471,-77.0236981
479,Virginia Square Metro / N Monroe St & 9th St N,38.8840377,-77.1039365
